1001	4	0
1002	4	1
1003	6	2
1004	4	3
1005	5	4
1006	5	5
1007	2	6
1008	1	7
1009	3	8
1010	4	9
1011	4	10
1012	1	11
1013	6	12
1014	3	13
1015	5	14
1016	3	15
1017	3	16
1018	2	17
1019	4	18
1020	5	19
1021	6	20
1022	4	21
1023	2	22
1024	3	23
1025	2	24
1026	5	25
1027	6	26
1028	6	27
1029	1	28
1030	1	29
1031	5	30
1032	3	31
1033	3	32
1034	2	33
1035	2	34
1036	2	35
1037	1	36
1038	6	37
1039	5	38
1040	6	39
1041	5	40
1042	1	41
1043	1	42
1044	4	43
1045	1	44
1046	4	45
1047	2	46
1048	1	47
1049	6	48
1050	2	49
1051	2	50
1052	3	51
1053	2	52
1054	4	53
1055	3	54
1056	2	55
1057	6	56
1058	4	57
1059	3	58
1060	4	59
1061	3	60
1062	3	61
1063	3	62
1064	6	63
1065	2	64
1066	3	65
1067	3	66
1068	5	67
1069	3	68
1070	6	69
1071	4	70
1072	4	71
1073	5	72
1074	2	73
1075	3	74
1076	1	75
1077	3	76
1078	4	77
1079	5	78
1080	3	79
1081	2	80
1082	6	81
1083	1	82
1084	2	83
1085	4	84
1086	5	85
1087	6	86
1088	2	87
1089	3	88
1090	1	89
1091	3	90
1092	2	91
1093	2	92
1094	1	93
1095	4	94
1096	5	95
1097	6	96
1098	6	97
1099	6	98
1100	6	99
