4	18:28	0	95020	53.41
4	17:52	1	95021	97.52
5	23:17	0	95022	60.79
4	05:54	0	95025	2.59
7	00:27	1	95024	23.29
7	23:49	1	95031	43.03
2	08:14	1	95032	96.81
3	00:15	1	95033	55.41
0	04:55	0	95034	78.52
4	09:30	0	95011	37.38
4	00:23	1	95041	77.71
4	11:49	1	95040	43.26
2	09:39	1	95040	78.50
1	00:00	1	95012	19.26
4	01:28	0	95013	30.94
1	19:38	0	95014	34.89
8	22:36	0	95042	5.79
4	18:54	1	95030	21.43
8	23:22	1	95040	78.02
3	00:48	0	95015	46.84
0	17:02	1	95035	99.87
3	19:47	0	95030	28.70
3	20:31	0	95016	92.42
4	17:01	1	95030	38.28
0	22:22	1	95040	96.19
7	08:48	1	95043	27.31
1	19:40	0	95010	12.32
2	20:41	0	95044	78.99
2	10:28	1	95040	79.17
3	09:08	0	95045	48.99
0	18:40	1	95040	75.42
1	12:01	1	95030	36.81
7	14:56	1	95046	22.29
4	04:42	1	95047	96.69
5	03:02	1	95030	19.87
0	01:12	1	95017	34.38
7	21:56	1	95040	6.17
7	02:15	0	95030	2.31
3	01:22	1	95040	2.09
8	20:54	0	95036	62.47
3	13:23	0	95018	38.64
3	08:01	0	95040	33.92
8	12:29	1	95037	91.85
8	01:47	1	95027	60.94
2	23:44	1	95040	15.62
4	13:12	0	95030	77.28
1	09:36	0	95030	86.53
3	00:09	1	95010	6.95
3	05:40	1	95038	87.49
0	11:48	0	95010	42.84
6	07:18	0	95048	76.81
6	12:24	0	95039	43.78
3	16:00	0	95030	67.22
0	04:44	0	95028	24.45
9	22:44	0	95029	82.01
4	21:59	0	95049	91.56
3	00:40	1	95019	16.61
4	14:10	1	95020	2.27
7	10:42	0	95021	95.53
4	01:13	1	95022	18.51
2	10:06	0	95025	51.38
8	02:07	0	95024	57.66
3	16:51	1	95031	54.25
7	18:06	0	95032	73.48
5	16:15	0	95033	53.55
3	04:42	0	95034	19.60
3	06:09	0	95011	6.72
3	13:28	0	95041	76.02
4	15:01	1	95040	79.49
2	11:45	1	95040	87.81
2	12:04	1	95012	83.52
8	09:20	0	95013	57.85
0	03:36	1	95014	44.71
3	19:43	0	95042	23.21
1	05:27	1	95030	24.20
7	17:00	0	95040	61.54
0	15:49	0	95015	68.93
2	07:01	0	95035	10.62
4	10:26	0	95030	8.24
6	17:17	1	95016	9.35
5	22:19	1	95030	9.32
7	07:15	1	95040	32.30
3	00:46	0	95043	0.72
0	22:15	1	95010	94.45
3	10:38	0	95044	18.57
3	16:33	1	95040	84.42
6	09:02	0	95045	13.89
8	04:35	0	95040	73.23
5	15:52	0	95030	54.25
3	20:35	0	95046	59.83
4	04:17	1	95047	77.34
1	22:28	0	95030	18.99
6	00:16	0	95017	58.49
2	09:15	1	95040	72.39
1	06:53	0	95030	69.96
1	15:45	0	95040	56.55
5	09:19	0	95036	35.00
2	12:43	0	95018	47.78
4	06:13	1	95040	28.76
3	01:02	0	95037	74.61
6	23:40	1	95027	76.66
7	16:44	1	95040	64.04
7	18:30	0	95030	73.74
2	00:49	0	95030	29.00
2	01:12	0	95010	22.25
7	08:31	0	95038	65.38
1	16:07	0	95010	30.20
0	22:53	0	95048	90.01
1	13:55	0	95039	10.23
7	23:23	0	95030	86.49
6	10:26	1	95028	51.87
8	04:23	0	95029	81.29
8	08:06	0	95049	52.56
8	03:35	0	95019	78.28
7	03:28	1	95020	97.91
5	13:49	1	95021	59.30
3	22:08	1	95022	17.27
3	02:09	1	95025	35.69
5	20:48	1	95024	41.46
8	19:27	1	95031	81.02
6	02:00	0	95032	98.97
4	18:28		95033	39.59
0	17:52		95034	53.54
3	23:17		95011	89.99
6	05:54		95041	70.49
5	00:27		95040	16.86
3	23:49		95040	51.67
8	08:14		95012	99.02
3	00:15		95013	96.99
7	04:55		95014	59.66
5	09:30		95042	92.06
1	00:23		95030	52.68
5	11:49		95040	15.29
0	09:39		95015	78.33
6	00:00		95035	72.01
3	01:28		95030	5.47
7	19:38		95016	77.29
6	22:36		95030	34.94
2	18:54		95040	75.92
8	23:22		95043	65.76
0	00:48		95010	48.31
5	17:02		95044	10.22
6	19:47		95040	31.04
4	20:31		95045	42.46
6	17:01		95040	92.21
3	22:22		95030	70.93
5	08:48		95046	85.61
7	19:40		95047	91.71
2	20:41		95030	20.66
2	10:28		95017	43.61
6	09:08		95040	65.35
0	18:40		95030	99.38
8	12:01		95040	95.73
6	14:56		95036	19.61
2	04:42		95018	25.38
1	03:02		95040	95.34
7	01:12		95037	86.06
7	21:56		95027	8.36
7	02:15		95040	74.77
3	01:22		95030	69.77
9	20:54		95030	1.80
4	13:23		95010	81.67
8	08:01		95038	31.40
8	12:29		95010	53.87
8	01:47		95048	17.56
4	23:44		95039	66.30
9	13:12		95030	19.73
0	09:36		95028	57.63
3	00:09		95029	65.70
3	05:40		95049	9.01
6	11:48		95019	63.98
9	07:18		95020	0.89
0	12:24		95021	58.88
1	16:00		95022	44.28
9	04:44		95025	39.84
2	22:44		95024	33.03
8	21:59		95031	6.61
4	00:40		95032	64.68
6	14:10		95033	73.66
9	10:42		95034	38.41
4	01:13		95011	32.67
1	10:06		95041	82.67
5	02:07		95040	50.45
3	16:51		95040	5.18
8	18:06		95012	39.46
7	16:15		95013	57.63
1	04:42		95014	70.82
4	06:09		95042	43.10
8	13:28		95030	51.00
2	15:01		95040	85.61
9	11:45		95015	48.13
0	12:04		95035	37.62
3	09:20		95030	42.77
2	03:36		95016	63.33
0	19:43		95030	74.87
5	05:27		95040	9.65
3	17:00		95043	70.18
2	15:49		95010	42.92
5	07:01		95044	3.32
9	10:26		95040	32.51
7	17:17		95045	32.79
7	22:19		95040	11.89
1	07:15		95030	26.77
4	00:46		95046	25.61
9	22:15		95047	22.46
3	10:38		95030	52.94
2	16:33		95017	0.35
3	09:02		95040	59.15
7	04:35		95030	76.30
0	15:52		95040	60.27
3	20:35		95036	37.81
3	04:17		95018	85.93
7	22:28		95040	90.57
4	00:16		95037	67.33
0	09:15		95027	3.91
6	06:53		95040	19.86
8	15:45		95030	86.44
7	09:19		95030	41.60
7	12:43		95010	35.42
5	06:13		95038	84.96
5	01:02		95010	68.66
1	23:40		95048	91.66
1	16:44		95039	86.41
9	18:30		95030	24.26
7	00:49		95028	20.37
2	01:12		95029	11.89
9	08:31		95049	96.71
6	16:07		95019	60.19
2	22:53		95020	58.56
5	13:55		95021	40.03
6	23:23		95022	59.87
7	10:26		95025	44.73
3	04:23		95024	51.52
0	08:06		95031	79.23
6	03:35		95032	36.35
9	03:28		95033	65.62
5	13:49		95034	48.04
4	22:08		95011	80.61
7	02:09		95041	83.46
6	20:48		95040	39.80
2	19:27		95040	91.19
3	02:00		95012	59.04
3	18:28		95013	89.09
5	17:52		95014	98.23
3	23:17		95042	20.59
7	05:54		95030	27.03
9	00:27		95040	25.88
2	23:49		95015	11.08
4	08:14		95035	7.97
7	00:15		95030	33.39
2	04:55		95016	82.90
1	09:30		95030	98.81
5	00:23		95040	65.13
7	11:49		95043	40.10
7	09:39		95010	62.45
0	00:00		95044	81.55
3	01:28		95040	23.53
7	19:38		95045	89.17
3	22:36		95040	12.36
9	18:54		95030	20.45
0	23:22		95046	67.36
7	00:48		95047	45.60
3	17:02		95030	52.69
9	19:47		95017	20.89
8	20:31		95040	95.77
2	17:01		95030	68.63
2	22:22		95040	88.36
8	08:48		95036	20.08
5	19:40		95018	70.52
7	20:41		95040	22.92
8	10:28		95037	35.67
8	09:08		95027	18.89
0	18:40		95040	22.10
9	12:01		95030	10.08
6	14:56		95030	69.82
7	04:42		95010	9.61
5	03:02		95038	53.41
9	01:12		95010	74.91
7	21:56		95048	44.05
3	02:15		95039	45.76
4	01:22		95030	15.30
8	20:54		95028	47.21
5	13:23		95029	27.58
1	08:01		95049	73.98
8	12:29		95019	42.38
